"";"Alessandro Zanoli";"Alex Meret";"Amir Rrahmani";"Eljif Elmas";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Giovanni Simeone";"Jens Cajuste";"Juan Jesus";"Khvicha Kvaratskhelia";"Matteo Politano";"Natan";"Piotr Zielinski";"Stanislav Lobotka";"Victor Osimhen";"Zambo Anguissa"
"Alessandro Zanoli";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"Alex Meret";1;0;5;0;0;2;0;0;4;0;0;4;0;0;0;0
"Amir Rrahmani";0;4;0;1;0;6;1;0;5;0;8;10;2;2;0;9
"Eljif Elmas";0;0;0;0;1;1;0;2;0;3;0;0;0;1;0;1
"Giacomo Raspadori";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Giovanni Di Lorenzo";1;0;8;1;2;0;0;0;3;2;7;1;2;2;0;11
"Giovanni Simeone";0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0
"Jens Cajuste";0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;1
"Juan Jesus";0;1;0;0;0;2;1;0;0;13;0;15;7;6;2;2
"Khvicha Kvaratskhelia";0;0;2;2;0;0;0;0;6;0;1;2;12;1;0;5
"Matteo Politano";0;0;1;0;0;9;0;0;1;2;0;1;3;4;1;6
"Natan";2;7;11;1;0;2;0;2;10;3;0;0;5;3;0;1
"Piotr Zielinski";0;0;6;0;0;2;1;0;6;6;1;2;0;4;0;2
"Stanislav Lobotka";0;0;6;1;0;3;1;0;4;1;7;4;5;0;0;8
"Victor Osimhen";0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1
"Zambo Anguissa";0;0;4;2;1;13;0;1;2;5;6;2;0;10;1;0
