"";"Abel Ruiz";"Alvaro Djalo";"Andre Horta";"Cristian Borja ";"Joao Moutinho";"Joe Mendes";"Jose Fonte";"Matheus";"Ricardo Horta";"Rodrigo Zalazar";"Roger Fernandes";"Serdar Saatci";"Sikou Niakate";"Simon Banza";"Victor Gomez";"Vitor Carvalho"
"Abel Ruiz";0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
"Alvaro Djalo";1;0;0;0;4;0;3;0;4;2;0;0;0;1;6;0
"Andre Horta";0;0;0;0;3;0;1;0;1;0;1;1;0;0;0;0
"Cristian Borja ";2;0;2;0;8;0;0;2;6;12;0;5;5;1;0;2
"Joao Moutinho";0;5;2;8;0;0;11;1;4;20;0;5;5;2;8;2
"Joe Mendes";0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0
"Jose Fonte";0;4;1;0;14;2;0;2;1;5;0;5;7;0;15;0
"Matheus";0;0;0;0;0;0;5;0;0;0;0;8;3;0;3;0
"Ricardo Horta";0;3;4;5;4;0;2;0;0;2;0;0;0;1;1;1
"Rodrigo Zalazar";0;4;0;5;13;0;9;0;3;0;0;3;1;0;7;2
"Roger Fernandes";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Serdar Saatci";0;0;0;2;2;0;7;11;1;4;0;0;0;0;0;0
"Sikou Niakate";0;0;0;7;1;0;7;2;1;3;0;0;0;1;0;3
"Simon Banza";0;3;0;0;3;0;0;0;0;0;0;0;0;0;1;0
"Victor Gomez";1;10;0;0;16;0;8;2;1;7;0;0;1;4;0;0
"Vitor Carvalho";0;0;0;3;1;0;1;1;0;0;0;0;2;1;2;0
