"";"Aissa Laidouni";"Alex Kral";"Brenden Aaronson";"David Fofana";"Diogo Leite";"Frederik Ronnow";"Janik Haberer";"Jerome Roussillon";"Josip Juranovic";"Kevin Behrens";"Kevin Volland";"Lucas Tousart";"Rani Khedira";"Robin Gosens";"Robin Knoche"
"Aissa Laidouni";0;0;0;1;8;0;0;7;1;2;2;2;2;5;5
"Alex Kral";0;0;0;1;1;0;1;5;1;0;0;0;0;1;1
"Brenden Aaronson";0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
"David Fofana";0;0;0;0;1;0;2;0;1;0;0;0;1;0;0
"Diogo Leite";16;4;1;1;0;3;1;14;3;2;1;2;8;2;21
"Frederik Ronnow";0;0;0;0;4;0;0;1;2;0;1;0;4;0;4
"Janik Haberer";0;1;0;0;1;0;0;0;1;0;0;0;0;1;6
"Jerome Roussillon";6;0;1;4;8;1;0;0;0;3;1;0;3;11;2
"Josip Juranovic";4;1;0;1;1;1;2;0;0;2;4;3;6;0;14
"Kevin Behrens";0;0;0;0;1;0;0;0;2;0;1;0;2;0;2
"Kevin Volland";1;0;0;0;0;1;3;0;2;0;0;1;0;1;0
"Lucas Tousart";0;0;0;0;1;0;0;0;2;0;0;0;3;0;2
"Rani Khedira";1;0;0;0;8;1;2;1;5;0;0;0;0;1;12
"Robin Gosens";4;3;1;1;2;0;1;7;0;0;0;0;1;0;0
"Robin Knoche";3;1;0;0;38;6;1;0;12;1;2;1;3;0;0
