"";"Alexander Schlager";"Amankwah Forson";"Amar Dedic";"Andreas Ulmer";"Dorgeles Nene";"Kamil Piatkowski";"Karim Konate";"Leandro Morgalla";"Luka Sucic";"Mads Bidstrup";"Nicolas Capaldo";"Oscar Gloukh";"Petar Ratkov";"Roko Simic";"Samson Baidoo";"Strahinja Pavlovic"
"Alexander Schlager";0;0;4;0;0;3;0;0;0;0;1;0;0;0;0;2
"Amankwah Forson";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Amar Dedic";3;0;0;3;2;3;0;0;2;2;4;2;0;0;0;0
"Andreas Ulmer";2;0;3;0;1;1;0;1;1;1;1;6;0;0;0;4
"Dorgeles Nene";1;0;0;0;0;0;0;1;2;0;1;4;3;0;0;1
"Kamil Piatkowski";6;0;1;0;0;0;0;3;1;2;1;0;0;0;0;2
"Karim Konate";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Leandro Morgalla";2;0;1;0;0;1;0;0;0;0;2;1;1;1;0;0
"Luka Sucic";0;1;4;0;1;1;1;0;0;0;2;1;1;0;0;0
"Mads Bidstrup";1;0;2;0;3;2;0;2;1;0;1;2;1;0;0;1
"Nicolas Capaldo";1;0;3;1;0;0;1;1;1;3;0;5;1;0;0;2
"Oscar Gloukh";1;0;0;2;6;0;0;0;4;0;3;0;0;0;0;0
"Petar Ratkov";0;0;1;1;2;0;0;0;2;0;1;2;0;0;0;0
"Roko Simic";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"Samson Baidoo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Strahinja Pavlovic";3;0;0;3;0;1;0;0;0;1;2;1;0;0;0;0
