"";"Adria Pedrosa";"Boubakary Soumare";"Djibril Sow";"Ivan Rakitic";"Juanlu Sanchez ";"Kike Salas";"Marko Dmitrovic";"Nemanja Gudelj";"Oliver Torres";"Rafa Mir";"Sergio Ramos";"Youssef En-Nesyri"
"Adria Pedrosa";0;3;2;4;0;9;1;0;0;0;4;1
"Boubakary Soumare";2;0;8;3;3;12;4;14;7;0;13;1
"Djibril Sow";3;5;0;3;3;4;2;6;5;0;5;0
"Ivan Rakitic";4;10;6;0;5;6;0;6;8;0;6;2
"Juanlu Sanchez ";0;4;5;7;0;0;2;8;6;0;5;3
"Kike Salas";8;7;2;13;0;0;2;2;1;1;10;2
"Marko Dmitrovic";0;2;2;1;0;0;0;4;0;0;10;0
"Nemanja Gudelj";0;14;4;6;10;0;8;0;5;0;11;2
"Oliver Torres";1;2;2;4;10;4;0;6;0;0;0;2
"Rafa Mir";0;0;0;0;0;0;0;0;0;0;1;0
"Sergio Ramos";5;12;3;9;2;12;4;16;4;1;0;0
"Youssef En-Nesyri";2;1;2;1;1;1;0;1;2;0;0;0
