"";"Aaron Ramsdale";"Ben White";"Cedric Soares";"Declan Rice";"Eddie Nketiah";"Emile Smith Rowe";"Gabriel Jesus";"Gabriel Magalhaes";"Jakub Kiwior";"Jorginho";"Kai Havertz";"Leandro Trossard";"Martin Odegaard";"Mohamed Elneny";"Reiss Nelson";"William Saliba"
"Aaron Ramsdale";0;0;0;5;0;0;0;12;0;2;0;0;1;0;0;4
"Ben White";1;0;0;5;1;1;3;0;0;0;0;0;3;0;1;0
"Cedric Soares";2;0;0;0;1;0;0;2;0;2;1;0;0;2;9;5
"Declan Rice";4;1;0;0;0;0;1;14;0;4;0;0;4;0;5;0
"Eddie Nketiah";2;0;1;0;0;1;0;0;1;3;1;5;4;1;3;0
"Emile Smith Rowe";0;1;0;0;0;0;2;0;1;0;0;1;1;0;0;0
"Gabriel Jesus";0;2;0;2;1;0;0;0;0;1;0;2;0;0;0;0
"Gabriel Magalhaes";6;0;1;8;4;1;0;0;17;5;6;4;0;3;4;24
"Jakub Kiwior";0;0;0;0;1;0;0;14;0;6;4;7;1;2;1;0
"Jorginho";1;1;3;5;4;1;2;5;7;0;4;3;3;1;5;2
"Kai Havertz";0;1;2;1;0;0;0;2;5;3;0;8;1;0;0;0
"Leandro Trossard";0;0;0;0;4;2;0;2;2;7;5;0;0;0;3;1
"Martin Odegaard";0;1;0;3;2;2;1;3;2;2;1;1;0;0;0;0
"Mohamed Elneny";0;0;4;0;1;0;0;5;0;0;0;2;0;0;2;5
"Reiss Nelson";0;3;5;2;8;0;0;3;2;1;2;5;1;7;0;6
"William Saliba";6;0;7;0;0;0;0;19;0;5;0;0;0;6;10;0
