"";"Aaron Wan-Bissaka";"Alejandro Garnacho";"Andre Onana";"Antony";"Bruno Fernandes";"Diogo Dalot";"Facundo Pellistri";"Hannibal Mejbri";"Harry Maguire";"Jonny Evans";"Kobbie Mainoo";"Luke Shaw";"Raphael Varane";"Rasmus Hojlund";"Scott McTominay";"Sofyan Amrabat"
"Aaron Wan-Bissaka";0;0;2;1;3;0;0;0;0;1;0;0;3;1;1;1
"Alejandro Garnacho";0;0;1;0;5;1;0;0;1;0;0;3;3;0;1;2
"Andre Onana";0;0;0;0;0;1;0;0;8;0;1;2;5;0;0;6
"Antony";1;0;1;0;5;2;0;0;0;0;0;0;0;0;4;1
"Bruno Fernandes";0;3;2;3;0;5;0;1;4;2;0;3;0;1;6;7
"Diogo Dalot";0;4;3;4;7;0;0;0;4;1;1;1;4;1;7;3
"Facundo Pellistri";1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"Hannibal Mejbri";0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0
"Harry Maguire";0;1;0;0;4;6;0;0;0;0;0;2;5;0;0;5
"Jonny Evans";3;0;1;2;0;1;1;0;0;0;0;0;6;1;1;2
"Kobbie Mainoo";0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;3
"Luke Shaw";0;5;2;0;2;1;0;0;0;0;0;0;5;3;1;0
"Raphael Varane";0;4;8;1;3;3;0;0;3;4;0;3;0;2;4;5
"Rasmus Hojlund";0;0;0;2;1;0;0;0;0;0;0;0;0;0;2;0
"Scott McTominay";0;2;0;3;4;7;1;0;0;3;1;1;2;3;0;2
"Sofyan Amrabat";1;5;2;4;6;5;1;2;4;6;2;1;2;1;2;0
