"";"Alphonso Davies";"Dayot Upamecano";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Mathys Tel";"Noussair Mazraoui";"Raphael Guerreiro";"Thomas Muller"
"Alphonso Davies";0;4;4;5;4;14;0;1;7;8;2;1;0;0;0
"Dayot Upamecano";4;0;5;0;12;11;4;7;4;2;15;0;5;0;1
"Harry Kane";0;2;0;3;3;1;5;2;2;0;1;0;2;1;1
"Jamal Musiala";2;4;2;0;4;2;2;1;3;3;0;0;1;0;0
"Joshua Kimmich";6;12;2;6;0;10;4;3;8;2;2;0;4;0;1
"Kim Min-jae";10;10;1;7;12;0;0;0;7;1;17;0;0;0;0
"Kingsley Coman";0;2;7;3;7;0;0;1;1;0;1;0;4;0;1
"Konrad Laimer";0;7;2;0;1;1;5;0;1;0;2;1;0;0;3
"Leon Goretzka";8;5;2;3;8;10;1;1;0;0;0;0;1;0;3
"Leroy Sane";3;0;1;5;2;0;1;2;3;0;0;0;1;0;0
"Manuel Neuer";5;14;0;0;3;10;0;3;1;0;0;0;1;1;0
"Mathys Tel";1;0;0;0;1;1;0;1;1;0;0;0;0;1;0
"Noussair Mazraoui";0;4;2;1;4;0;6;0;1;1;1;0;0;0;0
"Raphael Guerreiro";1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"Thomas Muller";0;0;0;0;0;0;1;1;1;3;0;3;0;0;0
