"";"Abdulkerim Bardakci";"Angelino";"Baris Yilmaz";"Cedric Bakambu";"Davinson Sanchez";"Dries Mertens";"Fernando Muslera";"Hakim Ziyech";"Kaan Ayhan";"Kerem Akturkoglu";"Lucas Torreira";"Mateus Tete";"Mauro Icardi";"Sacha Boey";"Sergio Oliveira";"Wilfried Zaha"
"Abdulkerim Bardakci";0;9;0;1;22;0;5;0;2;0;5;0;0;2;1;0
"Angelino";17;0;0;0;2;0;1;0;1;3;1;1;4;2;0;8
"Baris Yilmaz";3;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0
"Cedric Bakambu";1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0
"Davinson Sanchez";13;2;0;1;0;4;7;8;5;0;9;4;1;13;0;0
"Dries Mertens";0;0;1;1;1;0;0;4;0;0;1;0;0;4;0;0
"Fernando Muslera";7;1;0;1;3;2;0;0;0;1;0;0;0;5;1;0
"Hakim Ziyech";0;1;0;2;3;4;0;0;0;0;0;0;0;10;2;0
"Kaan Ayhan";2;3;0;0;3;0;0;0;0;2;2;4;1;4;0;0
"Kerem Akturkoglu";1;2;1;0;0;0;0;0;3;0;2;2;2;2;1;0
"Lucas Torreira";8;5;0;0;8;0;1;1;3;2;0;0;1;7;0;4
"Mateus Tete";2;0;0;0;0;0;0;0;3;1;2;0;1;6;0;0
"Mauro Icardi";0;1;0;0;0;1;0;0;0;2;3;0;0;1;0;4
"Sacha Boey";5;0;0;1;19;4;2;13;6;2;5;11;1;0;1;0
"Sergio Oliveira";0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0
"Wilfried Zaha";0;4;0;0;0;0;0;0;2;0;1;0;2;1;0;0
