"";"Antonio Rudiger";"Brahim Diaz";"Dani Ceballos";"David Alaba";"Federico Valverde";"Fran Garcia";"Joselu";"Jude Bellingham";"Kepa Arrizabalaga";"Lucas Vazquez";"Luka Modric";"Nacho Fernandez";"Nicolas Paz";"Rodrygo";"Toni Kroos"
"Antonio Rudiger";0;1;0;0;0;0;1;0;3;3;1;3;0;0;0
"Brahim Diaz";0;0;0;0;0;0;2;1;0;0;0;1;0;0;1
"Dani Ceballos";0;0;0;10;0;7;0;9;1;13;15;9;0;14;5
"David Alaba";0;0;5;0;3;27;1;8;7;0;2;14;0;4;4
"Federico Valverde";0;0;7;2;0;5;0;5;2;4;11;4;0;4;0
"Fran Garcia";1;0;6;17;13;0;3;21;0;0;9;4;0;11;4
"Joselu";1;0;3;0;0;1;0;3;0;5;3;1;0;2;0
"Jude Bellingham";0;2;9;9;6;11;1;0;2;8;12;4;1;6;5
"Kepa Arrizabalaga";3;0;2;8;0;2;0;0;0;2;2;12;0;1;4
"Lucas Vazquez";1;1;16;2;4;0;3;5;3;0;22;12;0;12;6
"Luka Modric";0;1;12;6;8;12;3;20;0;20;0;10;2;2;8
"Nacho Fernandez";4;1;10;19;5;6;1;1;5;16;15;0;1;0;5
"Nicolas Paz";0;0;0;0;0;0;0;1;0;1;1;0;0;0;1
"Rodrygo";0;0;7;1;3;6;5;7;0;13;4;3;0;0;3
"Toni Kroos";1;0;8;2;0;5;3;8;1;3;10;2;1;2;0
