"";"Alessandro Bastoni";"Alexis Sanchez";"Carlos Augusto";"Davide Frattesi";"Federico Dimarco";"Francesco Acerbi";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Juan Cuadrado";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Marko Arnautovic";"Matteo Darmian";"Nicolo Barella";"Yann Sommer"
"Alessandro Bastoni";0;0;2;0;0;0;1;0;0;1;0;0;0;3;2;3
"Alexis Sanchez";0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0
"Carlos Augusto";2;0;0;0;5;7;4;0;0;0;0;1;0;2;0;10
"Davide Frattesi";0;1;2;0;0;0;2;1;1;0;0;2;0;2;0;0
"Federico Dimarco";0;2;4;0;0;1;1;2;1;0;0;1;1;1;0;0
"Francesco Acerbi";3;0;7;2;3;0;2;1;1;2;0;1;1;11;2;14
"Hakan Calhanoglu";1;0;4;2;1;4;0;1;4;0;0;1;0;5;2;2
"Henrikh Mkhitaryan";0;0;1;1;4;0;2;0;2;0;0;0;0;0;0;0
"Juan Cuadrado";0;0;0;1;1;2;6;1;0;0;1;2;2;10;0;0
"Kristjan Asllani";1;0;0;0;0;0;0;0;0;0;1;0;0;2;4;0
"Lautaro Martinez";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Marcus Thuram";0;2;1;2;0;0;1;1;2;0;0;0;0;0;0;0
"Marko Arnautovic";0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
"Matteo Darmian";2;0;2;1;0;10;5;0;12;2;2;0;0;0;2;10
"Nicolo Barella";2;0;0;0;1;5;0;0;1;3;0;0;1;0;0;1
"Yann Sommer";1;0;6;2;0;12;5;0;2;1;1;0;0;8;0;0
