"";"Aihen Munoz";"Alex Remiro";"Aritz Elustondo";"Arsen Zakharyan";"Benat Turrientes";"Carlos Fernandez";"Hamari Traore";"Igor Zubeldia";"Jon Magunazelaia";"Kieran Tierney";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Robin Le Normand";"Takefusa Kubo";"Umar Sadiq"
"Aihen Munoz";0;0;0;2;3;0;0;0;0;0;8;2;5;22;0;2
"Alex Remiro";0;0;0;2;0;0;0;7;0;0;2;4;0;2;0;0
"Aritz Elustondo";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Arsen Zakharyan";2;1;0;0;0;0;3;2;0;0;4;0;1;0;5;0
"Benat Turrientes";3;0;0;0;0;0;0;0;1;0;4;1;1;3;0;0
"Carlos Fernandez";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Hamari Traore";0;1;1;1;2;0;0;23;0;0;9;8;2;0;17;1
"Igor Zubeldia";0;12;0;1;0;0;21;0;0;0;4;4;0;18;5;1
"Jon Magunazelaia";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Kieran Tierney";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Martin Zubimendi";6;0;0;4;5;0;8;9;0;0;0;5;0;11;7;2
"Mikel Merino";0;2;0;0;3;0;7;4;0;0;9;0;2;2;3;3
"Mikel Oyarzabal";2;0;0;2;0;0;0;0;0;0;3;4;0;0;1;0
"Robin Le Normand";35;10;1;1;0;0;2;16;0;1;2;0;1;0;0;0
"Takefusa Kubo";0;0;0;2;0;0;12;1;1;0;6;5;1;0;0;1
"Umar Sadiq";0;0;0;1;0;0;2;0;0;0;2;1;2;0;0;0
