"";"Anatoliy Trubin";"Angel Di Maria";"Arthur Cabral";"Casper Tengstedt";"Florentino Luis";"Fredrik Aursnes";"Goncalo Guedes";"Joao Mario";"Joao Neves";"Morato";"Nicolas Otamendi";"Orkun Kokcu";"Petar Musa";"Rafa Silva";"Tomas Araujo "
"Anatoliy Trubin";0;0;0;0;0;3;0;2;7;1;5;0;0;0;8
"Angel Di Maria";0;0;0;3;0;13;0;2;5;0;0;2;2;4;2
"Arthur Cabral";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Casper Tengstedt";0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
"Florentino Luis";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Fredrik Aursnes";2;25;0;1;0;0;0;3;10;0;3;2;3;6;4
"Goncalo Guedes";0;1;0;0;1;0;0;1;2;2;0;0;0;1;2
"Joao Mario";1;7;0;1;0;2;2;0;2;12;5;4;1;4;0
"Joao Neves";4;4;0;0;0;12;0;5;0;5;6;1;2;6;7
"Morato";0;1;0;3;0;0;2;14;4;0;9;5;3;7;0
"Nicolas Otamendi";6;3;0;0;0;7;1;5;8;17;0;5;0;2;4
"Orkun Kokcu";2;3;0;2;0;2;0;1;3;6;3;0;0;5;2
"Petar Musa";0;2;0;0;0;1;1;1;1;0;0;2;0;3;0
"Rafa Silva";0;7;0;1;0;0;2;4;2;3;3;3;1;0;2
"Tomas Araujo ";4;7;0;1;0;11;0;2;3;3;6;1;0;0;0
