"";"Benjamin Henrichs";"Benjamin Sesko";"Castello Lukeba";"Christopher Lenz";"Emil Forsberg";"Fabio Carvalho";"Kevin Kampl";"Lois Openda";"Lukas Klostermann";"Mohamed Simakan";"Nicolas Seiwald";"Peter Gulacsi";"Timo Werner";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Benjamin Henrichs";0;5;0;0;1;4;5;1;5;10;5;1;1;0;1;4
"Benjamin Sesko";0;0;1;1;2;3;0;0;0;1;1;0;0;0;0;0
"Castello Lukeba";0;2;0;12;3;2;15;0;1;4;4;9;0;0;0;2
"Christopher Lenz";0;6;7;0;4;3;8;3;0;2;1;3;0;0;1;5
"Emil Forsberg";1;1;2;4;0;1;5;0;0;0;1;0;0;0;0;4
"Fabio Carvalho";4;1;0;5;1;0;5;1;0;1;5;0;0;0;1;1
"Kevin Kampl";3;2;17;3;6;6;0;0;6;8;3;2;1;1;2;2
"Lois Openda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lukas Klostermann";8;0;1;1;1;1;1;0;0;0;1;7;1;1;1;1
"Mohamed Simakan";15;2;8;0;0;3;2;0;0;0;1;5;0;0;0;3
"Nicolas Seiwald";5;1;3;0;3;2;3;1;1;4;0;0;2;0;0;0
"Peter Gulacsi";3;0;12;3;0;0;2;0;4;5;3;0;0;3;0;0
"Timo Werner";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"Xaver Schlager";0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0
"Xavi Simons";1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0
"Yussuf Poulsen";5;1;1;1;1;5;0;0;1;0;0;0;0;0;0;0
