"";"Alistair Johnston";"Callum McGregor";"Greg Taylor";"Gustaf Lagerbielke";"Hyeon-gyu Oh";"James Forrest";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Luis Palma";"Matt O'Riley";"Mikey Johnston";"Mitchel Frame";"Paulo Bernardo";"Stephen Welsh";"Tomoki Iwata"
"Alistair Johnston";0;6;0;1;0;5;0;0;0;0;6;10;0;2;8;1
"Callum McGregor";8;0;4;0;0;1;1;0;9;4;2;0;0;3;4;3
"Greg Taylor";1;6;0;0;0;1;3;2;11;11;1;1;2;4;0;0
"Gustaf Lagerbielke";1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
"Hyeon-gyu Oh";0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
"James Forrest";3;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"Joe Hart";1;0;5;0;0;0;0;0;15;1;0;0;0;1;11;0
"Kyogo Furuhashi";0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"Liam Scales";1;8;19;2;0;0;10;1;0;6;1;0;1;2;14;0
"Luis Palma";0;4;3;0;0;0;0;2;3;0;2;2;0;3;1;0
"Matt O'Riley";5;3;0;0;0;3;1;2;1;0;0;3;1;0;1;1
"Mikey Johnston";3;2;1;0;0;0;1;0;0;2;4;0;0;1;1;0
"Mitchel Frame";0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
"Paulo Bernardo";0;4;4;0;4;2;1;0;0;1;0;2;0;0;0;0
"Stephen Welsh";11;4;1;0;0;0;4;1;13;0;4;2;0;2;0;2
"Tomoki Iwata";3;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0
