"";"Ayase Ueda";"Calvin Stengs";"David Hancko";"Igor Paixao";"Javairo Dilrosun";"Justin Bijlow";"Luka Ivanusec";"Lutsharel Geertruida";"Mats Wieffer";"Quilindschy Hartman";"Quinten Timber";"Ramiz Zerrouki";"Santiago Gimenez";"Thomas Beelen";"Van den Belt";"Yankuba Minteh"
"Ayase Ueda";0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
"Calvin Stengs";0;0;2;0;0;0;1;0;0;1;1;4;0;1;0;0
"David Hancko";0;0;0;0;0;14;2;2;2;14;0;3;2;12;1;0
"Igor Paixao";0;1;0;0;0;1;2;2;0;0;3;3;2;1;0;0
"Javairo Dilrosun";0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0
"Justin Bijlow";0;0;15;0;0;0;0;0;3;2;0;9;0;9;0;0
"Luka Ivanusec";0;0;1;2;0;1;0;1;0;5;3;0;1;0;0;1
"Lutsharel Geertruida";0;1;3;6;2;7;0;0;2;1;2;8;6;12;0;0
"Mats Wieffer";1;0;3;0;2;4;0;4;0;2;0;5;0;1;0;1
"Quilindschy Hartman";1;3;11;0;0;2;5;0;3;0;3;2;2;0;3;1
"Quinten Timber";0;1;0;1;0;0;2;2;0;2;0;6;2;1;0;0
"Ramiz Zerrouki";1;4;7;4;0;3;1;11;5;5;3;0;3;5;0;0
"Santiago Gimenez";1;1;0;0;0;0;2;3;1;0;0;1;0;0;1;4
"Thomas Beelen";0;0;7;1;0;10;0;14;2;1;2;5;0;0;2;0
"Van den Belt";0;0;1;0;0;0;0;1;0;1;0;4;1;0;0;1
"Yankuba Minteh";1;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0
