"";"Donyell Malen";"Giovanni Reyna";"Gregor Kobel";"Jamie Bynoe-Gittens";"Julian Brandt";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Marius Wolf";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Niklas Sule";"Ramy Bensebaini";"Salih Ozcan";"Sebastien Haller"
"Donyell Malen";0;1;0;0;2;0;0;0;0;0;1;1;1;0;0;0
"Giovanni Reyna";0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0
"Gregor Kobel";0;0;0;0;2;0;0;0;0;3;2;0;4;1;4;0
"Jamie Bynoe-Gittens";0;0;0;0;1;0;0;1;0;2;1;0;0;1;4;0
"Julian Brandt";1;0;3;1;0;3;0;2;3;5;4;0;7;3;3;0
"Karim Adeyemi";0;0;1;0;6;0;0;3;4;1;1;0;0;2;5;0
"Marcel Sabitzer";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"Marco Reus";0;0;0;0;3;2;1;0;1;4;1;0;1;2;2;0
"Marius Wolf";0;0;1;1;1;1;0;0;0;2;2;0;1;0;0;0
"Mats Hummels";1;1;11;3;8;6;0;2;2;0;3;0;4;3;2;1
"Niclas Fullkrug";1;0;0;2;2;5;1;2;1;0;0;0;1;0;1;0
"Nico Schlotterbeck";1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
"Niklas Sule";2;1;9;1;3;2;0;1;1;3;3;0;0;0;3;0
"Ramy Bensebaini";0;0;1;5;1;1;1;1;0;8;3;1;0;0;3;0
"Salih Ozcan";0;0;3;2;7;2;0;6;2;7;2;0;2;0;0;0
"Sebastien Haller";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
