"";"Alexander Isak";"Anthony Gordon";"Bruno Guimaraes";"Callum Wilson";"Dan Burn";"Fabian Schar";"Jamaal Lascelles";"Joelinton";"Kieran Trippier";"Lewis Miley";"Martin Dubravka";"Miguel Almiron";"Sean Longstaff";"Tino Livramento"
"Alexander Isak";0;0;2;0;1;1;1;5;0;1;0;0;0;0
"Anthony Gordon";0;0;2;1;0;1;1;3;0;3;0;1;0;3
"Bruno Guimaraes";2;3;0;0;1;10;8;9;2;4;2;6;3;7
"Callum Wilson";0;1;1;0;0;0;1;0;0;0;0;1;0;2
"Dan Burn";5;0;3;0;0;1;0;2;0;0;0;0;1;1
"Fabian Schar";2;5;4;0;2;0;4;4;2;1;9;2;0;5
"Jamaal Lascelles";1;0;3;1;0;9;0;2;2;7;6;5;2;1
"Joelinton";3;1;15;3;2;3;1;0;2;1;0;7;2;2
"Kieran Trippier";0;0;6;0;0;2;5;2;0;2;3;9;0;1
"Lewis Miley";0;0;2;2;0;3;2;2;5;0;0;10;0;0
"Martin Dubravka";0;0;2;0;1;8;5;0;3;0;0;0;2;1
"Miguel Almiron";1;1;11;0;0;1;1;5;4;6;0;0;1;2
"Sean Longstaff";1;0;2;0;0;1;0;0;0;0;0;3;0;4
"Tino Livramento";0;9;7;3;0;4;4;7;0;3;1;2;0;0
