"";"Alan Varela";"Andre Franco";"Diogo Costa";"Evanilson";"Fabio Cardoso";"Francisco Conceicao";"Galeno";"Ivan Jaime";"Joao Mario";"Jorge Sanchez";"Marko Grujic";"Mehdi Taremi";"Pepe_14926";"Pepe_66499";"Stephen Eustaquio";"Zaidu Sanusi"
"Alan Varela";0;2;1;0;3;0;2;0;0;1;1;0;7;1;3;4
"Andre Franco";1;0;0;0;1;1;0;0;0;0;2;0;0;0;0;1
"Diogo Costa";1;0;0;0;11;0;1;0;0;1;1;1;13;0;0;3
"Evanilson";2;0;0;0;0;0;1;0;0;3;0;3;2;2;1;1
"Fabio Cardoso";3;1;8;1;0;0;0;0;1;0;1;0;5;1;9;12
"Francisco Conceicao";0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0
"Galeno";2;0;1;2;2;1;0;0;1;0;0;2;1;4;3;3
"Ivan Jaime";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Joao Mario";0;1;0;0;0;1;0;0;0;0;0;4;0;1;0;0
"Jorge Sanchez";1;0;2;6;1;0;1;0;0;0;0;0;5;4;1;0
"Marko Grujic";0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;1
"Mehdi Taremi";2;0;0;0;2;1;4;0;0;0;1;0;0;1;3;1
"Pepe_14926";1;0;9;1;8;1;0;0;1;7;0;2;0;3;2;0
"Pepe_66499";2;0;1;4;1;0;1;0;1;0;0;2;2;0;2;1
"Stephen Eustaquio";4;0;1;0;5;0;3;0;0;3;0;3;4;2;0;5
"Zaidu Sanusi";3;0;5;1;7;0;10;1;0;0;0;4;1;2;6;0
