"";"Artem Bondarenko";"Danylo Sikan";"Dmytro Kryskiv";"Dmytro Riznyk";"Eguinaldo";"Georgiy Sudakov";"Giorgi Gocholeishvili";"Kevin Kelsy ";"Mykola Matvienko";"Newerton";"Oleksandr Zubkov";"Taras Stepanenko";"Valeriy Bondar";"Yaroslav Rakitskyi";"Yegor Nazaryna"
"Artem Bondarenko";0;0;1;5;1;4;5;0;1;2;7;8;9;6;0
"Danylo Sikan";4;0;1;0;0;0;1;0;1;0;1;1;0;0;0
"Dmytro Kryskiv";1;0;0;0;0;4;0;0;3;0;1;3;2;2;0
"Dmytro Riznyk";3;0;0;0;0;1;2;0;1;0;0;5;7;4;0
"Eguinaldo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Georgiy Sudakov";2;0;2;0;0;0;1;1;1;2;2;5;1;1;0
"Giorgi Gocholeishvili";6;2;1;3;0;1;0;0;0;0;8;4;6;2;0
"Kevin Kelsy ";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Mykola Matvienko";0;2;3;0;0;7;0;0;0;5;0;3;2;4;0
"Newerton";2;0;0;0;0;2;0;0;4;0;0;1;0;0;0
"Oleksandr Zubkov";6;2;1;0;0;2;5;0;0;0;0;1;3;0;0
"Taras Stepanenko";3;3;4;0;2;2;2;0;6;0;2;0;6;2;0
"Valeriy Bondar";14;1;0;6;0;2;9;1;0;0;2;1;0;8;0
"Yaroslav Rakitskyi";7;1;4;8;0;0;2;0;4;1;0;1;5;0;0
"Yegor Nazaryna";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
