"";"Amadou Haidara";"Benjamin Henrichs";"Benjamin Sesko";"Dani Olmo";"David Raum";"Eljif Elmas";"Kevin Kampl";"Lois Openda";"Lukas Klostermann";"Mohamed Simakan";"Peter Gulacsi";"Willi Orban";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Amadou Haidara";0;0;1;0;0;0;0;0;1;1;1;0;1;4;0
"Benjamin Henrichs";0;0;2;6;1;0;0;3;12;9;1;11;2;2;0
"Benjamin Sesko";0;0;0;4;1;0;0;2;0;0;0;0;2;6;0
"Dani Olmo";0;6;5;0;0;0;0;1;1;4;0;1;1;1;0
"David Raum";0;3;3;0;0;1;1;3;0;0;2;10;10;9;0
"Eljif Elmas";1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"Kevin Kampl";1;0;0;0;1;0;0;0;0;0;0;3;0;0;0
"Lois Openda";0;3;1;1;2;0;0;0;0;0;0;2;1;0;0
"Lukas Klostermann";1;14;0;2;0;0;0;1;0;5;6;18;11;4;0
"Mohamed Simakan";1;7;2;7;0;1;0;0;8;0;4;2;1;3;1
"Peter Gulacsi";0;1;0;0;4;0;0;0;8;0;0;11;3;0;0
"Willi Orban";2;9;2;5;10;0;3;3;19;4;8;0;20;8;0
"Xaver Schlager";1;5;1;2;8;0;0;3;9;1;1;19;0;12;0
"Xavi Simons";0;5;5;2;8;0;0;0;1;6;0;8;4;0;0
"Yussuf Poulsen";1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
