"";"Dayot Upamecano";"Eric Choupo-Moting";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Mathys Tel";"Matthijs De Ligt";"Noussair Mazraoui";"Raphael Guerreiro";"Thomas Muller"
"Dayot Upamecano";0;0;2;3;11;14;6;5;7;0;0;20;0;8
"Eric Choupo-Moting";0;0;1;0;0;0;0;0;0;0;0;0;1;0
"Harry Kane";0;0;0;2;3;0;1;1;0;0;0;3;0;2
"Jamal Musiala";1;1;2;0;9;7;2;1;2;1;3;2;12;5
"Joshua Kimmich";19;0;3;8;0;17;9;3;2;0;1;10;19;2
"Kim Min-jae";14;0;2;11;16;0;6;0;5;0;9;1;24;0
"Leon Goretzka";7;0;2;4;15;5;0;3;0;0;0;6;5;4
"Leroy Sane";3;0;3;1;7;0;6;0;1;0;1;2;4;3
"Manuel Neuer";7;0;0;1;1;9;1;0;0;1;1;2;0;0
"Mathys Tel";0;0;0;1;0;1;0;0;0;0;2;0;0;0
"Matthijs De Ligt";0;0;0;1;3;10;0;0;1;0;0;9;0;1
"Noussair Mazraoui";17;1;2;3;7;2;5;10;0;0;6;0;0;12
"Raphael Guerreiro";1;0;0;19;20;10;9;5;3;4;0;1;0;1
"Thomas Muller";7;0;3;4;5;0;1;6;1;0;0;6;1;0
