"";"Alessandro Bastoni";"Alexis Sanchez";"Benjamin Pavard";"Carlos Augusto";"Davide Frattesi";"Denzel Dumfries";"Federico Dimarco";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Lautaro Martinez";"Marcus Thuram";"Marko Arnautovic";"Matteo Darmian";"Nicolo Barella";"Stefan de Vrij";"Yann Sommer"
"Alessandro Bastoni";0;0;2;2;0;0;12;7;5;1;0;2;1;4;13;9
"Alexis Sanchez";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Benjamin Pavard";2;0;0;0;2;3;0;15;2;1;0;0;17;15;15;9
"Carlos Augusto";0;0;0;0;1;1;0;3;0;0;0;0;0;1;0;2
"Davide Frattesi";0;0;1;1;0;1;0;2;0;1;0;0;0;2;0;0
"Denzel Dumfries";0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0
"Federico Dimarco";13;0;0;0;0;0;0;5;6;2;0;0;0;0;1;2
"Hakan Calhanoglu";4;0;14;0;0;2;4;0;6;5;1;3;6;12;13;5
"Henrikh Mkhitaryan";4;0;5;1;0;0;5;10;0;1;1;0;1;4;0;0
"Lautaro Martinez";0;0;2;0;0;1;0;0;5;0;2;1;0;5;1;0
"Marcus Thuram";0;0;0;0;0;0;0;0;0;4;0;0;0;2;1;0
"Marko Arnautovic";0;0;1;0;1;0;0;4;0;3;0;0;0;0;0;0
"Matteo Darmian";0;0;10;0;0;0;0;4;2;2;1;0;0;11;4;3
"Nicolo Barella";7;1;7;1;5;1;2;17;2;5;1;3;6;0;9;1
"Stefan de Vrij";12;0;18;0;0;0;4;14;3;1;0;0;3;9;0;5
"Yann Sommer";2;0;15;0;0;0;2;8;2;0;0;0;0;3;5;0
