"";"Andreas Christensen";"Frenkie de Jong";"Ilkay Gundogan";"Inigo Martinez";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Oriol Romeu";"Pedri";"Raphinha";"Robert Lewandowski";"Ronald Araujo"
"Andreas Christensen";0;4;2;4;1;0;2;3;1;0;1;0;0;3
"Frenkie de Jong";7;0;7;8;12;2;4;4;0;4;6;1;1;14
"Ilkay Gundogan";4;10;0;0;0;1;3;8;0;0;4;1;4;1
"Inigo Martinez";2;9;0;0;13;0;2;0;7;0;5;0;2;7
"Joao Cancelo";1;12;2;6;0;0;0;0;5;1;6;0;2;1
"Joao Felix";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Jules Kounde";4;6;2;2;0;0;0;6;4;0;0;2;2;8
"Lamine Yamal";2;1;9;0;0;0;4;0;0;0;2;0;1;0
"Marc-Andre ter Stegen";1;4;2;5;3;0;1;0;0;0;1;0;1;8
"Oriol Romeu";0;1;0;2;0;0;0;0;0;0;0;1;0;2
"Pedri";3;3;3;5;4;0;0;3;0;0;0;0;4;0
"Raphinha";0;1;0;1;0;0;1;0;0;0;0;0;0;0
"Robert Lewandowski";0;2;2;0;1;0;0;0;0;0;4;0;0;0
"Ronald Araujo";1;3;4;7;1;0;10;0;10;1;2;0;3;0
