"";"Andriy Lunin";"Antonio Rudiger";"Aurelien Tchouameni";"Dani Carvajal";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Joselu";"Jude Bellingham";"Luka Modric";"Nacho Fernandez";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;5;0;1;0;0;3;0;0;0;2;0;4;0
"Antonio Rudiger";5;0;12;5;0;1;0;0;2;0;6;0;6;0
"Aurelien Tchouameni";0;5;0;13;6;10;1;0;2;3;3;1;12;1
"Dani Carvajal";2;9;13;0;3;11;0;1;2;0;1;2;4;0
"Eduardo Camavinga";0;0;4;0;0;0;2;0;3;0;5;0;3;3
"Federico Valverde";0;1;6;11;1;0;0;0;6;2;2;2;5;3
"Ferland Mendy";0;0;3;0;3;0;0;0;3;3;8;1;2;10
"Joselu";0;0;0;0;0;1;0;0;0;0;0;1;0;0
"Jude Bellingham";0;2;3;5;1;1;1;0;0;0;4;0;7;9
"Luka Modric";0;0;0;1;0;3;2;0;1;0;1;0;0;5
"Nacho Fernandez";5;12;5;0;3;1;8;0;3;1;0;0;15;2
"Rodrygo";0;0;0;1;0;2;0;0;1;0;0;0;0;0
"Toni Kroos";1;5;7;7;2;7;3;0;13;0;11;1;0;5
"Vinicius Junior";0;0;1;0;3;5;7;0;5;2;1;1;0;0
