"";"Amadou Haidara";"Benjamin Henrichs";"Benjamin Sesko";"Castello Lukeba";"Christoph Baumgartner";"Dani Olmo";"David Raum";"Eljif Elmas";"Kevin Kampl";"Lois Openda";"Peter Gulacsi";"Willi Orban";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Amadou Haidara";0;6;3;8;0;12;3;0;0;2;0;6;6;6;0
"Benjamin Henrichs";11;0;1;0;0;8;1;0;0;4;2;8;3;6;0
"Benjamin Sesko";1;3;0;0;0;0;1;0;0;4;0;0;1;3;0
"Castello Lukeba";11;2;0;0;0;0;11;0;1;0;3;7;11;5;0
"Christoph Baumgartner";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"Dani Olmo";2;14;5;0;1;0;0;0;0;1;0;1;0;4;1
"David Raum";2;0;1;11;1;0;0;0;0;3;0;1;4;6;0
"Eljif Elmas";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Kevin Kampl";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"Lois Openda";3;1;1;0;0;2;1;0;0;0;0;0;2;0;0
"Peter Gulacsi";2;2;0;5;0;0;2;0;0;0;0;1;0;2;0
"Willi Orban";9;9;0;7;0;3;0;1;0;2;3;0;1;3;0
"Xaver Schlager";8;1;1;11;0;3;4;0;0;1;0;2;0;4;0
"Xavi Simons";5;3;0;3;0;4;6;0;0;5;0;0;3;0;1
"Yussuf Poulsen";0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
