"";"Achraf Hakimi";"Beraldo";"Bradley Barcola";"Carlos Soler";"Fabian Ruiz";"Gianluigi Donnarumma";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Nordi Mukiele";"Nuno Mendes";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0;1;0;1;2;12;2;10;0;1;0;6;0;8;12
"Beraldo";0;0;0;0;6;2;1;1;11;0;1;8;6;0;9;1
"Bradley Barcola";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Carlos Soler";0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0
"Fabian Ruiz";0;2;0;0;0;0;1;5;5;0;1;5;3;0;6;1
"Gianluigi Donnarumma";1;9;0;0;1;0;1;0;3;0;1;2;0;0;1;0
"Kang-In Lee";7;0;0;0;0;0;0;1;0;0;0;1;0;0;7;3
"Kylian Mbappe";1;0;0;0;4;0;1;0;0;0;0;3;2;0;3;1
"Lucas Hernandez";13;10;0;0;4;6;1;0;0;1;0;0;1;0;3;3
"Manuel Ugarte";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Nordi Mukiele";2;1;0;0;0;3;0;0;0;0;0;0;0;0;1;2
"Nuno Mendes";0;6;0;0;7;0;0;6;0;0;0;0;11;0;4;1
"Ousmane Dembele";3;1;1;0;1;2;1;8;2;0;0;7;0;0;5;0
"Randal Kolo Muani";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Vitinha Ferreira";9;10;0;0;8;1;3;4;7;1;1;5;6;0;0;4
"Warren Zaire-Emery";12;1;3;0;0;0;3;0;0;0;2;0;1;1;6;0
