"";"Aleksandar Pavlovic";"Alphonso Davies";"Eric Dier";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Mathys Tel";"Matthijs De Ligt";"Raphael Guerreiro";"Serge Gnabry";"Thomas Muller"
"Aleksandar Pavlovic";0;4;6;1;4;3;0;14;8;0;0;20;5;0;4
"Alphonso Davies";3;0;7;0;2;0;0;1;0;0;1;0;0;2;0
"Eric Dier";11;6;0;0;1;0;0;15;0;8;0;27;9;1;0
"Harry Kane";2;0;0;0;1;1;0;2;1;1;0;0;1;0;2
"Jamal Musiala";3;4;2;6;0;3;0;4;4;0;1;3;8;0;3
"Joshua Kimmich";12;0;5;2;2;0;2;1;7;2;0;22;1;0;3
"Konrad Laimer";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Leon Goretzka";15;0;6;2;13;0;0;0;1;2;0;13;20;0;1
"Leroy Sane";8;0;0;2;3;6;0;4;0;0;0;2;1;0;3
"Manuel Neuer";5;2;8;0;0;2;0;2;0;0;0;5;1;0;0
"Mathys Tel";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"Matthijs De Ligt";2;0;35;0;0;35;0;9;8;12;0;0;0;0;1
"Raphael Guerreiro";6;0;7;3;10;0;0;18;2;1;0;0;0;0;3
"Serge Gnabry";0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
"Thomas Muller";1;0;0;0;1;1;0;0;5;0;0;0;5;0;0
