"";"Adam Marusic";"Alessio Romagnoli";"Ciro Immobile";"Daichi Kamada";"Danilo Cataldi";"Felipe Anderson";"Gustav Isaksen";"Ivan Provedel";"Luca Pellegrini";"Luis Alberto";"Mario Gila";"Matias Vecino";"Matteo Guendouzi";"Mattia Zaccagni";"Pedro Rodriguez";"Taty Castellanos"
"Adam Marusic";0;0;2;1;0;11;6;1;1;1;7;1;9;0;0;2
"Alessio Romagnoli";0;0;1;3;0;1;0;7;7;5;4;1;1;2;2;0
"Ciro Immobile";0;1;0;0;0;2;0;0;2;4;0;1;2;2;0;0
"Daichi Kamada";1;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0
"Danilo Cataldi";4;3;0;1;0;0;0;1;1;0;0;0;1;0;0;1
"Felipe Anderson";4;0;2;0;1;0;0;0;0;1;1;1;8;0;0;0
"Gustav Isaksen";2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
"Ivan Provedel";2;5;0;0;0;0;0;0;0;0;9;0;0;0;0;0
"Luca Pellegrini";0;7;3;0;2;1;0;2;0;8;0;4;1;3;3;0
"Luis Alberto";0;1;1;0;3;3;0;1;7;0;2;5;1;9;0;0
"Mario Gila";5;6;0;1;2;3;2;4;3;3;0;1;1;0;0;2
"Matias Vecino";3;1;2;0;0;1;0;0;2;6;1;0;0;5;0;0
"Matteo Guendouzi";6;1;0;0;1;5;2;1;0;2;3;1;0;1;0;0
"Mattia Zaccagni";0;3;3;0;0;0;0;0;5;4;0;2;1;0;0;0
"Pedro Rodriguez";0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0
"Taty Castellanos";2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
