"";"Guus Til";"Hirving Lozano";"Isaac Babadi";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Mauro Junior ";"Olivier Boscagli";"Ricardo Pepi";"Sergino Dest";"Walter Benitez"
"Guus Til";0;0;0;0;1;2;1;1;2;1;2;0;0;0
"Hirving Lozano";0;0;0;0;1;0;1;1;1;2;2;1;6;0
"Isaac Babadi";0;0;0;0;0;0;0;0;0;0;1;1;1;0
"Jerdy Schouten";1;1;0;0;7;6;7;2;5;3;15;0;0;3
"Joey Veerman";0;1;0;5;0;5;7;2;10;6;6;0;5;0
"Johan Bakayoko";0;0;0;2;7;0;11;1;5;1;1;0;2;0
"Jordan Teze";3;0;1;7;9;10;0;1;2;5;7;0;2;2
"Luuk de Jong";1;2;0;0;0;2;1;0;1;0;0;0;1;0
"Malik Tillman";3;3;0;3;9;3;1;1;0;2;4;0;5;0
"Mauro Junior ";4;2;0;4;4;4;3;2;3;0;3;0;7;0
"Olivier Boscagli";2;1;0;12;6;1;2;0;8;4;0;0;14;3
"Ricardo Pepi";0;0;0;0;0;1;0;1;0;0;0;0;0;0
"Sergino Dest";0;10;0;2;4;0;2;1;8;8;12;1;0;2
"Walter Benitez";0;0;1;4;0;0;2;0;0;0;7;0;3;0
