"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Jan Oblak";"Koke";"Marcos Llorente";"Mario Hermoso";"Memphis Depay";"Nahuel Molina";"Pablo Barrios ";"Rodrigo de Paul";"Rodrigo Riquelme";"Samuel Lino";"Stefan Savic"
"Alvaro Morata";0;0;3;1;0;1;4;1;0;0;0;4;0;1;0
"Angel Correa";0;0;0;0;0;2;1;0;1;0;2;0;0;0;4
"Antoine Griezmann";7;0;0;1;0;5;3;7;3;1;0;3;4;5;1
"Axel Witsel";1;0;2;0;4;6;0;15;0;3;2;1;0;0;9
"Jan Oblak";0;0;0;5;0;0;1;3;0;4;1;0;0;0;2
"Koke";2;2;6;6;0;0;3;14;2;3;2;12;2;2;4
"Marcos Llorente";0;3;4;1;1;6;0;1;1;9;1;4;1;0;3
"Mario Hermoso";2;0;11;11;2;13;2;0;0;0;0;1;4;12;2
"Memphis Depay";0;1;2;0;0;3;0;1;0;0;0;0;1;0;1
"Nahuel Molina";0;0;3;0;0;8;8;0;0;0;0;9;0;0;4
"Pablo Barrios ";0;0;0;0;0;0;3;1;1;0;0;0;1;0;1
"Rodrigo de Paul";3;0;4;1;0;5;4;5;0;8;0;0;0;2;6
"Rodrigo Riquelme";0;1;1;2;0;1;0;4;1;0;0;0;0;0;0
"Samuel Lino";0;0;6;3;0;8;0;5;0;0;0;2;0;0;1
"Stefan Savic";0;3;0;3;3;6;3;3;1;8;1;9;0;2;0
