"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Gabriel Jesus";"Gabriel Magalhaes";"Jakub Kiwior";"Jorginho";"Kai Havertz";"Leandro Trossard";"Martin Odegaard";"William Saliba"
"Ben White";0;12;2;4;0;1;1;11;6;1;3;13
"Bukayo Saka";7;0;0;0;1;1;0;1;2;1;11;2
"David Raya";0;0;0;2;0;4;0;3;0;0;0;7
"Declan Rice";2;3;0;0;0;2;6;3;1;5;3;4
"Gabriel Jesus";0;0;0;0;0;0;1;0;0;0;3;0
"Gabriel Magalhaes";7;0;6;7;0;0;4;8;2;3;0;11
"Jakub Kiwior";0;0;2;5;0;7;0;4;0;9;0;0
"Jorginho";7;5;0;6;0;6;1;0;2;1;5;6
"Kai Havertz";0;3;0;2;0;0;0;1;0;1;2;2
"Leandro Trossard";0;1;0;2;0;2;3;1;0;0;2;0
"Martin Odegaard";1;7;1;2;2;1;1;1;0;4;0;1
"William Saliba";14;4;4;1;1;15;0;9;3;0;0;0
