"";"Alan Varela";"Diogo Costa";"Evanilson";"Francisco Conceicao";"Galeno";"Joao Mario";"Jorge Sanchez";"Marko Grujic";"Mehdi Taremi";"Nico Gonzalez";"Otavio";"Pepe_14926";"Pepe_66499";"Wendell"
"Alan Varela";0;1;0;0;2;2;1;0;1;3;3;4;4;4
"Diogo Costa";2;0;0;0;0;5;0;0;0;0;18;5;1;2
"Evanilson";1;0;0;1;2;1;0;0;0;5;0;1;4;1
"Francisco Conceicao";2;0;2;0;0;2;0;0;0;1;0;1;1;0
"Galeno";0;1;1;0;0;0;0;1;0;0;2;1;0;5
"Joao Mario";2;0;0;4;0;0;0;0;0;0;0;7;5;1
"Jorge Sanchez";0;1;0;0;0;0;0;0;0;0;0;0;2;0
"Marko Grujic";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mehdi Taremi";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Nico Gonzalez";1;0;3;2;3;1;0;0;0;0;1;3;5;2
"Otavio";0;17;2;0;1;0;0;0;0;0;0;0;0;4
"Pepe_14926";3;18;0;0;0;2;0;0;0;1;1;0;2;0
"Pepe_66499";4;1;5;4;1;1;1;0;0;0;1;1;0;1
"Wendell";2;1;2;0;7;0;0;0;0;3;13;2;1;0
