"";"Alex Meret";"Amir Rrahmani";"Cyril Ngonge";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Hamed Junior Traore";"Jesper Lindstrom";"Juan Jesus";"Khvicha Kvaratskhelia";"Mario Rui";"Mathias Olivera";"Matteo Politano";"Stanislav Lobotka";"Victor Osimhen";"Zambo Anguissa"
"Alex Meret";0;12;0;1;4;0;1;9;0;0;0;0;1;0;0
"Amir Rrahmani";11;0;0;1;11;2;2;11;0;0;0;2;6;0;10
"Cyril Ngonge";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Giacomo Raspadori";0;1;0;0;1;0;0;0;0;0;2;0;0;0;2
"Giovanni Di Lorenzo";1;8;0;0;0;4;6;0;1;0;0;11;4;1;12
"Hamed Junior Traore";0;1;0;0;0;0;0;1;4;4;1;8;1;2;3
"Jesper Lindstrom";0;1;0;0;3;0;0;0;0;0;0;0;1;0;1
"Juan Jesus";8;11;0;0;0;4;0;0;2;6;2;0;4;1;1
"Khvicha Kvaratskhelia";0;0;0;1;1;2;1;5;0;8;2;2;1;0;3
"Mario Rui";1;3;0;0;0;5;0;6;9;0;0;0;0;1;1
"Mathias Olivera";0;0;0;2;0;0;0;1;5;0;0;0;0;0;2
"Matteo Politano";0;1;0;0;8;1;0;0;2;0;0;0;2;3;4
"Stanislav Lobotka";1;9;0;1;4;4;0;3;1;5;1;3;0;1;3
"Victor Osimhen";0;0;0;1;0;1;0;0;2;0;0;3;1;0;2
"Zambo Anguissa";1;8;0;1;7;3;3;2;1;1;2;7;8;2;0
