"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Gabriel Jesus";"Gabriel Magalhaes";"Gabriel Martinelli";"Jakub Kiwior";"Jorginho";"Kai Havertz";"Leandro Trossard";"Martin Odegaard";"Oleksandr Zinchenko";"Thomas Partey";"William Saliba"
"Ben White";0;10;0;4;0;1;0;0;3;4;0;10;2;1;9
"Bukayo Saka";6;0;0;0;3;2;1;0;1;4;0;8;0;1;3
"David Raya";0;0;0;2;0;4;0;0;4;0;0;1;0;0;7
"Declan Rice";0;2;0;0;1;5;2;4;3;0;1;3;4;0;6
"Gabriel Jesus";0;1;0;1;0;0;0;0;0;0;1;0;2;0;1
"Gabriel Magalhaes";1;0;8;7;0;0;2;4;9;1;1;6;5;1;29
"Gabriel Martinelli";2;0;0;2;0;3;0;2;0;0;0;3;1;0;0
"Jakub Kiwior";0;0;1;2;0;6;2;0;1;1;0;0;0;0;2
"Jorginho";4;2;0;6;0;7;1;1;0;1;0;5;3;0;7
"Kai Havertz";4;1;1;0;0;2;0;1;1;0;1;3;0;0;0
"Leandro Trossard";0;2;0;1;1;1;0;0;0;0;0;0;0;1;0
"Martin Odegaard";10;10;2;1;0;8;4;1;3;0;1;0;7;0;8
"Oleksandr Zinchenko";3;0;1;2;1;7;3;0;3;3;7;1;0;1;5
"Thomas Partey";0;2;0;0;0;0;0;0;0;0;0;2;2;0;0
"William Saliba";11;12;1;2;1;22;0;1;5;2;0;16;6;2;0
