"";"Andreas Christensen";"Fermin Lopez";"Ferran Torres";"Frenkie de Jong";"Ilkay Gundogan";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Pau Cubarsi";"Pedri";"Raphinha";"Robert Lewandowski";"Ronald Araujo";"Sergi Roberto"
"Andreas Christensen";0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
"Fermin Lopez";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"Ferran Torres";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"Frenkie de Jong";0;0;0;0;2;5;1;1;0;0;4;1;4;5;2;2
"Ilkay Gundogan";0;0;0;1;0;1;1;3;4;0;2;0;2;6;1;1
"Joao Cancelo";0;0;0;7;1;0;6;1;0;1;9;3;3;3;0;4
"Joao Felix";0;0;1;0;0;3;0;0;0;0;5;1;0;0;0;0
"Jules Kounde";0;1;2;3;4;0;0;0;5;2;1;2;2;3;4;2
"Lamine Yamal";0;0;0;0;2;0;0;6;0;0;0;0;1;1;1;2
"Marc-Andre ter Stegen";0;0;0;1;0;2;0;4;1;0;4;0;0;0;2;2
"Pau Cubarsi";1;0;0;1;2;8;2;1;0;13;0;1;2;2;2;2
"Pedri";0;0;0;1;0;1;3;1;0;0;2;0;0;2;0;0
"Raphinha";0;0;0;2;0;4;0;1;0;0;2;1;0;2;1;0
"Robert Lewandowski";0;0;1;0;2;5;2;2;6;0;0;1;3;0;3;1
"Ronald Araujo";0;0;0;3;1;1;0;2;0;8;2;1;0;0;0;0
"Sergi Roberto";0;0;0;1;0;2;0;1;3;3;3;0;1;1;1;0
