"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Cesar Azpilicueta";"Jan Oblak";"Jose Gimenez";"Koke";"Marcos Llorente";"Mario Hermoso";"Nahuel Molina";"Pablo Barrios ";"Rodrigo de Paul";"Rodrigo Riquelme";"Saul Niguez"
"Alvaro Morata";0;0;3;0;0;0;0;4;0;2;3;0;1;0;0
"Angel Correa";0;0;0;0;0;0;0;1;1;0;0;2;4;1;0
"Antoine Griezmann";3;4;0;0;4;0;0;8;2;6;0;4;9;1;0
"Axel Witsel";0;0;1;0;0;2;7;8;11;1;13;3;1;0;0
"Cesar Azpilicueta";0;0;4;0;0;0;1;0;0;3;1;0;2;0;0
"Jan Oblak";0;0;0;5;0;0;1;3;2;2;0;0;0;0;0
"Jose Gimenez";1;0;1;7;0;2;0;1;1;10;0;2;1;3;0
"Koke";3;1;2;5;1;1;4;0;8;5;2;6;10;0;0
"Marcos Llorente";3;1;3;11;0;1;1;5;0;0;10;2;8;2;0
"Mario Hermoso";0;1;11;1;3;2;3;6;0;0;0;7;1;9;2
"Nahuel Molina";3;0;2;6;0;1;1;9;5;0;0;0;1;0;0
"Pablo Barrios ";0;2;2;2;0;0;2;4;1;5;0;0;0;7;0
"Rodrigo de Paul";3;3;6;4;0;0;3;4;7;1;0;1;0;0;0
"Rodrigo Riquelme";0;0;1;0;0;0;0;0;1;12;0;2;1;0;0
"Saul Niguez";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
