"";"Andriy Lunin";"Antonio Rudiger";"Aurelien Tchouameni";"Brahim Diaz";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Joselu";"Jude Bellingham";"Lucas Vazquez";"Luka Modric";"Nacho Fernandez";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;4;3;0;0;0;3;0;0;0;0;2;0;3;0
"Antonio Rudiger";4;0;5;0;2;3;1;0;0;8;0;6;1;6;0
"Aurelien Tchouameni";0;6;0;0;2;3;0;0;7;11;4;3;3;4;4
"Brahim Diaz";0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
"Eduardo Camavinga";0;0;2;0;0;0;2;0;1;0;2;0;0;2;1
"Federico Valverde";0;2;7;0;1;0;1;0;5;8;0;1;1;13;1
"Ferland Mendy";3;0;0;0;3;0;0;0;3;0;0;5;3;6;7
"Joselu";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"Jude Bellingham";1;1;1;0;1;6;8;0;0;5;0;2;3;11;3
"Lucas Vazquez";3;7;5;2;1;15;1;3;6;0;0;1;1;6;3
"Luka Modric";0;0;2;0;1;0;0;0;0;1;0;0;0;0;1
"Nacho Fernandez";0;6;5;0;0;0;3;0;3;0;0;0;2;12;2
"Rodrygo";0;1;2;0;0;3;3;0;2;3;0;1;0;6;5
"Toni Kroos";0;4;11;0;0;7;3;0;16;8;0;8;6;0;8
"Vinicius Junior";0;1;1;1;0;5;3;0;5;1;0;0;6;5;0
