"";"Emre Can";"Felix Nmecha";"Gregor Kobel";"Ian Maatsen";"Jadon Sancho";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Marius Wolf";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Youssoufa Moukoko"
"Emre Can";0;0;2;5;4;5;4;0;0;0;0;3;3;6;0
"Felix Nmecha";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gregor Kobel";0;0;0;5;0;0;2;0;0;0;0;13;0;5;0
"Ian Maatsen";5;0;3;0;1;7;0;11;0;1;0;2;0;6;0
"Jadon Sancho";6;0;0;5;0;4;14;1;5;1;3;6;2;2;1
"Julian Brandt";4;0;1;6;4;0;2;2;2;0;0;3;0;3;0
"Julian Ryerson";4;0;0;0;21;2;0;1;3;0;0;10;6;1;0
"Karim Adeyemi";3;0;1;7;1;4;1;0;0;0;0;0;0;0;0
"Marcel Sabitzer";0;0;1;1;5;3;2;2;0;0;0;2;2;0;1
"Marco Reus";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Marius Wolf";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Mats Hummels";1;0;6;0;9;4;13;1;5;0;0;0;1;3;0
"Niclas Fullkrug";0;0;0;1;2;3;1;2;4;0;0;1;0;0;0
"Nico Schlotterbeck";1;0;11;7;1;2;0;2;1;0;0;4;2;0;0
"Youssoufa Moukoko";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
