"";"Achraf Hakimi";"Beraldo";"Bradley Barcola";"Fabian Ruiz";"Gianluigi Donnarumma";"Kylian Mbappe";"Lucas Hernandez";"Marquinhos";"Nuno Mendes";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;2;0;3;1;4;1;3;1;21;0;5;13
"Beraldo";1;0;0;2;1;2;0;5;12;2;1;8;1
"Bradley Barcola";1;0;0;3;0;7;0;0;4;0;0;7;0
"Fabian Ruiz";2;2;2;0;0;7;2;1;13;4;1;6;0
"Gianluigi Donnarumma";2;4;0;0;0;1;2;1;2;0;0;1;0
"Kylian Mbappe";3;0;2;2;0;0;1;2;3;6;1;2;4
"Lucas Hernandez";1;0;2;0;2;0;0;11;7;0;0;4;1
"Marquinhos";15;11;0;0;1;0;9;0;2;8;0;3;7
"Nuno Mendes";0;2;14;18;0;2;6;3;0;1;3;9;3
"Ousmane Dembele";16;2;0;4;0;3;1;8;0;0;0;6;8
"Randal Kolo Muani";0;0;0;0;0;2;0;0;1;0;0;1;0
"Vitinha Ferreira";5;7;7;6;1;5;1;9;5;7;3;0;6
"Warren Zaire-Emery";7;3;0;2;1;3;4;7;0;10;0;8;0
