"";"Andriy Lunin";"Antonio Rudiger";"Aurelien Tchouameni";"Brahim Diaz";"Dani Carvajal";"Eder Militao";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Joselu";"Jude Bellingham";"Luka Modric";"Nacho Fernandez";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;4;0;0;0;0;0;0;3;0;0;0;5;0;2;0
"Antonio Rudiger";6;0;5;1;6;0;0;3;1;0;0;2;20;0;13;1
"Aurelien Tchouameni";0;2;0;0;5;0;0;6;3;0;4;0;8;3;5;2
"Brahim Diaz";0;1;0;0;2;0;1;0;0;1;0;0;0;0;0;1
"Dani Carvajal";2;15;3;4;0;0;2;8;0;0;4;4;1;5;2;2
"Eder Militao";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Eduardo Camavinga";0;3;0;0;1;0;0;2;2;0;4;4;4;0;0;1
"Federico Valverde";0;4;8;0;7;0;4;0;1;0;2;2;0;6;2;0
"Ferland Mendy";2;1;1;0;0;0;2;2;0;0;7;2;3;3;14;6
"Joselu";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jude Bellingham";1;0;4;0;1;0;4;2;8;0;0;2;4;2;14;12
"Luka Modric";1;1;0;2;5;0;3;1;2;1;2;0;2;0;0;3
"Nacho Fernandez";2;11;6;0;0;0;6;3;2;0;4;5;0;2;30;0
"Rodrygo";0;3;2;0;4;0;0;2;4;0;5;0;1;0;5;4
"Toni Kroos";2;12;6;0;4;0;0;6;10;0;19;0;9;8;0;8
"Vinicius Junior";0;0;1;0;1;0;0;2;3;0;6;1;1;2;1;0
