"";"Aleksandar Pavlovic";"Alphonso Davies";"Eric Choupo-Moting";"Eric Dier";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Konrad Laimer";"Leroy Sane";"Manuel Neuer";"Matthijs De Ligt";"Noussair Mazraoui";"Serge Gnabry";"Thomas Muller"
"Aleksandar Pavlovic";0;1;0;11;0;3;9;0;16;1;0;3;12;0;0
"Alphonso Davies";2;0;0;0;2;3;2;0;2;0;0;0;3;0;0
"Eric Choupo-Moting";1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"Eric Dier";11;2;0;0;0;7;4;0;8;0;8;9;13;0;0
"Harry Kane";0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
"Jamal Musiala";5;4;0;0;4;0;1;0;2;2;0;2;4;2;0
"Joshua Kimmich";6;1;1;4;1;3;0;1;12;9;3;4;2;0;0
"Kim Min-jae";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Konrad Laimer";8;0;1;8;0;3;13;0;0;3;0;8;0;0;1
"Leroy Sane";0;1;0;1;0;2;6;0;4;0;0;0;0;0;0
"Manuel Neuer";1;0;0;10;0;0;2;0;2;0;0;3;3;0;0
"Matthijs De Ligt";2;0;1;7;0;0;8;0;1;4;5;0;3;0;0
"Noussair Mazraoui";14;6;0;14;0;5;0;0;1;0;1;1;0;3;0
"Serge Gnabry";0;0;0;2;0;0;0;0;0;0;0;0;3;0;0
"Thomas Muller";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
